loyalty_id,customer_id,booking_id,transaction_date,miles_earned,miles_redeemed,activity_type
LOY0000100,CUST0004,BKG008268,2025-01-17,1987,993,flight
LOY0000101,CUST0004,BKG008406,2025-01-04,765,0,flight
LOY0000102,CUST0004,BKG008851,2025-01-12,725,725,flight
LOY0000103,CUST0004,BKG009206,2025-01-06,288,144,flight
LOY0000104,CUST0004,BKG009263,2024-12-24,807,0,flight
LOY0000105,CUST0004,BKG009693,2024-12-17,594,0,flight
LOY0000106,CUST0004,BKG009901,2024-12-28,877,0,flight
LOY0000107,CUST0004,BKG009950,2024-12-01,615,615,bonus_campaign
LOY0000108,CUST0004,BKG010302,2025-01-13,1065,0,flight
LOY0000109,CUST0004,BKG010411,2024-12-16,662,331,partner_hotel
LOY0000110,CUST0004,BKG010689,2024-12-13,2118,1059,flight
LOY0000111,CUST0004,BKG011153,2025-01-02,843,0,flight
LOY0000112,CUST0004,BKG011301,2024-12-12,1936,0,flight
LOY0000113,CUST0004,BKG011372,2024-12-28,7077,3538,flight
LOY0000114,CUST0004,BKG011443,2025-01-11,1900,0,bonus_campaign
LOY0000115,CUST0007,BKG000110,2024-11-06,4129,0,partner_hotel
LOY0000116,CUST0007,BKG000122,2024-12-27,2688,2688,flight
LOY0000117,CUST0007,BKG000164,2024-11-04,1435,0,flight
LOY0000118,CUST0007,BKG000415,2024-11-16,511,0,flight
LOY0000119,CUST0007,BKG001004,2024-11-28,1160,0,partner_hotel
LOY0000120,CUST0007,BKG001199,2024-11-24,610,0,flight
LOY0000121,CUST0007,BKG001596,2024-11-20,864,0,flight
LOY0000122,CUST0007,BKG001695,2024-11-06,772,386,flight
LOY0000123,CUST0007,BKG002398,2024-12-18,693,346,flight
LOY0000124,CUST0007,BKG002426,2024-12-21,1712,856,flight
LOY0000125,CUST0007,BKG003114,2025-01-06,396,0,flight
LOY0000126,CUST0007,BKG003364,2024-12-09,4163,4163,flight
LOY0000127,CUST0007,BKG003561,2024-12-01,761,380,flight
LOY0000128,CUST0007,BKG003836,2024-12-24,576,288,flight
LOY0000129,CUST0007,BKG004879,2024-12-03,858,858,flight
LOY0000130,CUST0007,BKG004924,2024-11-14,3276,0,partner_hotel
LOY0000131,CUST0007,BKG005353,2024-12-17,655,0,flight
LOY0000132,CUST0007,BKG005390,2024-11-20,645,0,flight
LOY0000133,CUST0007,BKG005637,2024-12-24,7957,0,flight
LOY0000134,CUST0007,BKG005836,2024-12-11,1197,0,bonus_campaign
LOY0000135,CUST0007,BKG006163,2025-01-12,2118,0,bonus_campaign
LOY0000136,CUST0007,BKG006269,2024-12-13,4276,0,partner_hotel
LOY0000137,CUST0007,BKG006777,2024-11-27,4989,4989,flight
LOY0000138,CUST0007,BKG007704,2025-01-08,2940,0,partner_hotel
LOY0000139,CUST0007,BKG007902,2024-11-29,5371,0,flight
LOY0000140,CUST0007,BKG008160,2025-01-14,927,0,bonus_campaign
LOY0000141,CUST0007,BKG008168,2025-01-09,1435,0,flight
LOY0000142,CUST0007,BKG008328,2024-12-01,3350,1675,partner_hotel
LOY0000143,CUST0007,BKG008349,2024-12-01,2948,1474,flight
LOY0000144,CUST0007,BKG008965,2024-12-28,6186,6186,partner_hotel
LOY0000145,CUST0007,BKG008990,2025-01-02,1050,525,flight
LOY0000146,CUST0007,BKG008998,2024-11-25,2287,0,flight
LOY0000147,CUST0007,BKG009503,2024-12-14,1521,760,partner_hotel
LOY0000148,CUST0007,BKG009587,2024-12-27,210,105,flight
LOY0000149,CUST0007,BKG009609,2024-12-24,237,118,bonus_campaign
LOY0000150,CUST0007,BKG009742,2024-12-21,2527,0,flight
LOY0000151,CUST0007,BKG009866,2025-01-11,2591,2591,flight
LOY0000152,CUST0007,BKG009869,2024-12-02,1660,0,flight
LOY0000153,CUST0007,BKG009962,2024-12-24,1677,0,partner_hotel
LOY0000154,CUST0007,BKG010560,2024-12-03,675,0,flight
LOY0000155,CUST0007,BKG010984,2024-12-27,13612,0,flight
LOY0000156,CUST0007,BKG011183,2025-01-06,616,308,bonus_campaign
LOY0000157,CUST0007,BKG011285,2024-12-07,958,0,flight
LOY0000158,CUST0008,BKG000250,2024-11-28,867,0,flight
LOY0000159,CUST0008,BKG000328,2024-11-28,405,0,flight
LOY0000160,CUST0008,BKG000453,2024-11-14,655,327,flight
LOY0000161,CUST0008,BKG000553,2024-12-13,2772,0,flight
LOY0000162,CUST0008,BKG000575,2024-11-27,726,0,flight
LOY0000163,CUST0008,BKG000716,2024-12-24,1836,0,flight
LOY0000164,CUST0008,BKG000977,2024-12-06,909,454,flight
LOY0000165,CUST0008,BKG001102,2024-12-06,1085,0,partner_hotel
LOY0000166,CUST0008,BKG001217,2025-01-03,855,0,flight
LOY0000167,CUST0008,BKG001451,2024-12-07,3708,0,flight
LOY0000168,CUST0008,BKG001732,2024-11-18,3283,3283,flight
LOY0000169,CUST0008,BKG002072,2024-11-24,630,315,flight
LOY0000170,CUST0008,BKG002969,2024-12-06,15745,0,flight
LOY0000171,CUST0008,BKG003838,2024-12-29,189,94,flight
LOY0000172,CUST0008,BKG004648,2024-12-22,967,0,flight
LOY0000173,CUST0008,BKG004757,2024-12-28,1152,576,flight
LOY0000174,CUST0008,BKG005174,2024-12-24,3340,3340,flight
LOY0000175,CUST0008,BKG005515,2024-11-17,824,412,flight
LOY0000176,CUST0008,BKG006431,2024-11-29,984,984,bonus_campaign
LOY0000177,CUST0008,BKG006589,2025-01-12,1635,0,flight
LOY0000178,CUST0008,BKG006614,2025-01-07,2310,0,flight
LOY0000179,CUST0008,BKG006634,2025-01-13,702,0,flight
LOY0000180,CUST0008,BKG006980,2024-12-11,1944,0,partner_hotel
LOY0000181,CUST0008,BKG007018,2024-12-24,1296,0,partner_hotel
LOY0000182,CUST0008,BKG007175,2024-12-03,6372,0,flight
LOY0000183,CUST0008,BKG007547,2025-01-16,4192,0,partner_hotel
LOY0000184,CUST0008,BKG007699,2025-01-15,570,0,flight
LOY0000185,CUST0008,BKG008076,2024-12-31,474,474,flight
LOY0000186,CUST0008,BKG008221,2024-11-24,434,0,flight
LOY0000187,CUST0008,BKG008693,2024-12-20,2070,0,flight
LOY0000188,CUST0008,BKG009144,2025-01-21,606,303,flight
LOY0000189,CUST0008,BKG009212,2025-01-13,715,357,partner_hotel
LOY0000190,CUST0008,BKG009338,2024-12-30,675,0,flight
LOY0000191,CUST0008,BKG009881,2025-01-25,5533,2766,flight
LOY0000192,CUST0008,BKG009919,2024-12-27,902,902,flight
LOY0000193,CUST0008,BKG010012,2024-12-20,1360,0,partner_hotel
LOY0000194,CUST0008,BKG010037,2025-01-08,291,0,flight
LOY0000195,CUST0008,BKG010046,2024-12-02,357,0,bonus_campaign
LOY0000196,CUST0008,BKG010150,2024-12-30,1060,0,flight
LOY0000197,CUST0008,BKG010229,2024-12-06,498,0,bonus_campaign
LOY0000198,CUST0008,BKG010792,2025-01-01,665,0,flight
LOY0000199,CUST0008,BKG011324,2025-01-23,543,0,flight
LOY0000200,CUST0008,BKG011365,2024-12-13,3321,3321,flight
LOY0000201,CUST0009,BKG000251,2024-11-24,3588,1794,bonus_campaign
LOY0000202,CUST0009,BKG000797,2024-11-23,360,360,partner_hotel
LOY0000203,CUST0009,BKG000920,2024-12-10,3304,0,flight
LOY0000204,CUST0009,BKG001589,2024-11-23,670,0,flight
LOY0000205,CUST0009,BKG001599,2024-11-12,1047,1047,flight
LOY0000206,CUST0009,BKG001956,2025-01-05,360,180,flight
LOY0000207,CUST0009,BKG004383,2024-12-11,1440,0,partner_hotel
LOY0000208,CUST0009,BKG005341,2024-12-12,625,625,flight
LOY0000209,CUST0009,BKG005953,2025-01-15,3922,0,partner_hotel
LOY0000210,CUST0009,BKG006181,2025-01-14,591,0,partner_hotel
LOY0000211,CUST0009,BKG006921,2024-12-08,1088,544,flight
LOY0000212,CUST0009,BKG007034,2024-12-28,1354,0,flight
LOY0000213,CUST0009,BKG007059,2024-11-24,2692,1346,partner_hotel
LOY0000214,CUST0009,BKG007469,2025-01-03,2354,1177,partner_hotel
LOY0000215,CUST0009,BKG007491,2024-12-03,975,0,flight
LOY0000216,CUST0009,BKG007764,2024-12-14,968,0,flight
LOY0000217,CUST0009,BKG007891,2024-12-30,991,0,flight
LOY0000218,CUST0009,BKG008611,2024-12-07,1893,946,flight
LOY0000219,CUST0009,BKG008882,2024-12-30,907,0,partner_hotel
LOY0000220,CUST0009,BKG008952,2025-01-13,1426,0,flight
LOY0000221,CUST0009,BKG009076,2024-12-27,2733,2733,flight
LOY0000222,CUST0009,BKG009123,2025-01-07,561,0,flight
LOY0000223,CUST0009,BKG009211,2025-01-22,2401,2401,flight
LOY0000224,CUST0009,BKG009337,2024-12-14,1435,0,flight
LOY0000225,CUST0009,BKG009905,2024-12-07,3011,1505,flight
LOY0000226,CUST0009,BKG010718,2024-12-25,394,394,flight
LOY0000227,CUST0009,BKG010908,2025-01-10,852,0,flight
LOY0000228,CUST0009,BKG010997,2024-12-08,2119,0,flight
LOY0000229,CUST0009,BKG011305,2025-01-08,2059,0,flight
LOY0000230,CUST0009,BKG011353,2024-12-09,10437,5218,flight
LOY0000231,CUST0010,BKG000130,2024-11-08,399,399,flight
LOY0000232,CUST0010,BKG000194,2024-11-08,837,837,flight
LOY0000233,CUST0010,BKG000734,2024-11-07,1512,0,flight
LOY0000234,CUST0010,BKG002050,2024-11-29,585,0,flight
LOY0000235,CUST0010,BKG002109,2024-11-13,739,739,flight
LOY0000236,CUST0010,BKG003283,2024-12-08,670,335,partner_hotel
LOY0000237,CUST0010,BKG003293,2024-12-08,2973,0,bonus_campaign
LOY0000238,CUST0010,BKG004169,2025-01-10,1190,595,bonus_campaign
LOY0000239,CUST0010,BKG004234,2024-12-07,820,0,flight
LOY0000240,CUST0010,BKG004257,2024-11-23,438,219,bonus_campaign
LOY0000241,CUST0010,BKG004675,2024-11-21,1764,0,flight
LOY0000242,CUST0010,BKG005285,2025-01-02,2832,0,flight
LOY0000243,CUST0010,BKG005508,2024-12-21,737,0,flight
LOY0000244,CUST0010,BKG005733,2024-12-06,621,0,flight
LOY0000245,CUST0010,BKG005877,2024-11-19,1146,0,flight
LOY0000246,CUST0010,BKG006214,2025-01-12,1435,0,flight
LOY0000247,CUST0010,BKG006959,2025-01-15,633,0,flight
LOY0000248,CUST0010,BKG007566,2024-11-27,2255,2255,flight
LOY0000249,CUST0010,BKG007574,2024-12-09,1579,0,flight
LOY0000250,CUST0010,BKG007610,2025-01-12,967,483,partner_hotel
LOY0000251,CUST0010,BKG007713,2024-12-04,876,0,flight
LOY0000252,CUST0010,BKG008127,2024-12-27,1735,867,flight
LOY0000253,CUST0010,BKG008995,2025-01-23,658,658,flight
LOY0000254,CUST0010,BKG009362,2025-01-16,645,322,flight
LOY0000255,CUST0010,BKG011265,2025-01-20,1068,0,bonus_campaign
LOY0000256,CUST0012,BKG000231,2024-12-11,481,0,flight
LOY0000257,CUST0012,BKG000418,2024-11-29,329,164,flight
LOY0000258,CUST0012,BKG000505,2024-12-26,1230,0,partner_hotel
LOY0000259,CUST0012,BKG000702,2024-11-16,634,634,flight
LOY0000260,CUST0012,BKG001139,2025-01-01,744,372,partner_hotel
LOY0000261,CUST0012,BKG001825,2024-12-14,4482,4482,flight
LOY0000262,CUST0012,BKG002236,2024-12-23,1152,1152,flight
LOY0000263,CUST0012,BKG002404,2025-01-05,2656,0,partner_hotel
LOY0000264,CUST0012,BKG002873,2024-11-22,1849,0,flight
LOY0000265,CUST0012,BKG003063,2024-12-11,552,0,flight
LOY0000266,CUST0012,BKG003290,2025-01-06,1639,0,flight
LOY0000267,CUST0012,BKG003397,2024-12-27,935,467,flight
LOY0000268,CUST0012,BKG003504,2025-01-05,1037,1037,flight
LOY0000269,CUST0012,BKG003580,2024-12-13,711,0,flight
LOY0000270,CUST0012,BKG003800,2024-12-01,852,0,bonus_campaign
LOY0000271,CUST0012,BKG003932,2024-11-20,896,0,bonus_campaign
LOY0000272,CUST0012,BKG004389,2024-11-20,1615,0,partner_hotel
LOY0000273,CUST0012,BKG004462,2024-12-26,8477,0,flight
LOY0000274,CUST0012,BKG004464,2024-12-24,1868,0,flight
LOY0000275,CUST0012,BKG004710,2024-12-18,725,362,partner_hotel
LOY0000276,CUST0012,BKG004720,2025-01-02,873,0,flight
LOY0000277,CUST0012,BKG004826,2024-12-24,6976,0,flight
LOY0000278,CUST0012,BKG004974,2024-11-21,931,0,flight
LOY0000279,CUST0012,BKG005422,2024-11-29,3326,0,partner_hotel
LOY0000280,CUST0012,BKG005761,2024-12-18,820,0,flight
LOY0000281,CUST0012,BKG006649,2024-12-18,799,399,flight
LOY0000282,CUST0012,BKG006958,2024-12-21,1457,0,partner_hotel
LOY0000283,CUST0012,BKG007091,2024-12-04,549,274,flight
LOY0000284,CUST0012,BKG007138,2024-12-13,1440,0,flight
LOY0000285,CUST0012,BKG007209,2024-11-30,1963,1963,flight
LOY0000286,CUST0012,BKG007380,2024-12-06,1780,890,partner_hotel
LOY0000287,CUST0012,BKG007569,2025-01-03,545,0,flight
LOY0000288,CUST0012,BKG007616,2024-12-02,2292,1146,flight
LOY0000289,CUST0012,BKG007915,2024-12-05,2325,2325,partner_hotel
LOY0000290,CUST0012,BKG008295,2024-12-19,1615,0,flight
LOY0000291,CUST0012,BKG008393,2024-12-15,769,0,bonus_campaign
LOY0000292,CUST0012,BKG008485,2025-01-03,194,97,partner_hotel
LOY0000293,CUST0012,BKG008530,2025-01-20,372,0,flight
LOY0000294,CUST0012,BKG009427,2025-01-04,1089,0,flight
LOY0000295,CUST0012,BKG009767,2025-01-12,2275,0,flight
LOY0000296,CUST0012,BKG009927,2024-12-22,745,0,flight
LOY0000297,CUST0012,BKG010320,2024-12-07,1200,600,flight
LOY0000298,CUST0012,BKG010654,2024-12-11,18161,0,flight
LOY0000299,CUST0012,BKG010859,2025-01-28,2484,2484,flight
LOY0000300,CUST0012,BKG011027,2024-12-28,849,0,flight
LOY0000301,CUST0012,BKG011207,2025-01-25,1147,0,flight
LOY0000302,CUST0012,BKG011394,2024-12-06,4446,4446,flight
LOY0000303,CUST0013,BKG000175,2024-12-04,774,0,flight
LOY0000304,CUST0013,BKG000601,2024-12-24,882,441,partner_hotel
LOY0000305,CUST0013,BKG000700,2024-12-18,6760,6760,bonus_campaign
LOY0000306,CUST0013,BKG000770,2024-11-05,2288,0,flight
LOY0000307,CUST0013,BKG000902,2024-11-09,1864,0,flight
LOY0000308,CUST0013,BKG001030,2024-11-06,7440,3720,flight
LOY0000309,CUST0013,BKG001359,2024-11-13,960,0,flight
LOY0000310,CUST0013,BKG001604,2024-12-08,632,0,flight
LOY0000311,CUST0013,BKG002251,2024-12-15,558,0,flight
LOY0000312,CUST0013,BKG002532,2024-12-18,1535,767,flight
LOY0000313,CUST0013,BKG002627,2024-12-28,3067,0,partner_hotel
LOY0000314,CUST0013,BKG002895,2024-12-10,942,0,partner_hotel
LOY0000315,CUST0013,BKG003496,2025-01-09,502,0,flight
LOY0000316,CUST0013,BKG003522,2024-11-18,393,196,partner_hotel
LOY0000317,CUST0013,BKG003591,2024-12-21,1670,0,flight
LOY0000318,CUST0013,BKG003616,2024-12-21,785,0,flight
LOY0000319,CUST0013,BKG004416,2024-12-14,2407,2407,partner_hotel
LOY0000320,CUST0013,BKG005083,2024-12-01,2495,0,flight
LOY0000321,CUST0013,BKG005559,2024-12-25,3115,0,flight
LOY0000322,CUST0013,BKG006029,2024-12-16,699,699,flight
LOY0000323,CUST0013,BKG007259,2024-11-27,1668,0,flight
LOY0000324,CUST0013,BKG007476,2024-11-28,1023,0,flight
LOY0000325,CUST0013,BKG007845,2025-01-09,855,855,flight
LOY0000326,CUST0013,BKG007924,2024-12-29,9088,0,flight
LOY0000327,CUST0013,BKG007944,2024-12-08,7296,0,bonus_campaign
LOY0000328,CUST0013,BKG008095,2024-12-30,624,312,flight
LOY0000329,CUST0013,BKG008176,2025-01-07,959,959,flight
LOY0000330,CUST0013,BKG008455,2025-01-04,792,0,partner_hotel
LOY0000331,CUST0013,BKG008457,2024-12-21,747,373,partner_hotel
LOY0000332,CUST0013,BKG008529,2025-01-03,955,955,flight
LOY0000333,CUST0013,BKG008786,2025-01-10,1525,0,bonus_campaign
LOY0000334,CUST0013,BKG008967,2024-11-25,912,0,flight
LOY0000335,CUST0013,BKG009025,2024-12-09,930,0,flight
LOY0000336,CUST0013,BKG009376,2025-01-21,737,737,flight
LOY0000337,CUST0013,BKG009796,2024-12-10,1470,0,flight
LOY0000338,CUST0013,BKG010272,2024-12-27,15306,0,bonus_campaign
LOY0000339,CUST0013,BKG011424,2025-01-19,954,0,flight
LOY0000340,CUST0017,BKG000041,2024-11-11,1240,0,flight
LOY0000341,CUST0017,BKG000063,2024-11-07,1080,540,bonus_campaign
LOY0000342,CUST0017,BKG001094,2024-12-26,3908,1954,flight
LOY0000343,CUST0017,BKG001246,2024-11-28,892,0,flight
LOY0000344,CUST0017,BKG001411,2024-12-29,589,0,flight
LOY0000345,CUST0017,BKG001496,2024-12-30,1084,1084,flight
LOY0000346,CUST0017,BKG001610,2024-12-23,460,0,flight
LOY0000347,CUST0017,BKG002712,2024-12-31,650,0,flight
LOY0000348,CUST0017,BKG002864,2024-11-14,1410,705,flight
LOY0000349,CUST0017,BKG003291,2024-12-31,423,0,flight
LOY0000350,CUST0017,BKG003760,2025-01-09,1440,1440,flight
LOY0000351,CUST0017,BKG003807,2024-11-18,645,0,flight
LOY0000352,CUST0017,BKG004629,2024-12-05,1300,0,flight
LOY0000353,CUST0017,BKG005128,2025-01-04,1878,0,flight
LOY0000354,CUST0017,BKG005173,2024-12-06,1073,1073,flight
LOY0000355,CUST0017,BKG005456,2024-11-22,438,219,flight
LOY0000356,CUST0017,BKG005490,2025-01-04,2945,0,flight
LOY0000357,CUST0017,BKG005824,2024-12-16,2217,0,partner_hotel
LOY0000358,CUST0017,BKG006045,2024-12-02,2646,0,bonus_campaign
LOY0000359,CUST0017,BKG006046,2025-01-06,1504,0,flight
LOY0000360,CUST0017,BKG007120,2024-11-24,1469,734,flight
LOY0000361,CUST0017,BKG007154,2024-11-27,7776,7776,bonus_campaign
LOY0000362,CUST0017,BKG007254,2025-01-09,1168,1168,flight
LOY0000363,CUST0017,BKG007715,2025-01-17,1309,654,flight
LOY0000364,CUST0017,BKG008101,2024-12-23,846,0,flight
LOY0000365,CUST0017,BKG008191,2025-01-17,1182,0,flight
LOY0000366,CUST0017,BKG008424,2025-01-14,1557,0,partner_hotel
LOY0000367,CUST0017,BKG008701,2024-12-09,9192,0,flight
LOY0000368,CUST0017,BKG009122,2025-01-11,1911,955,partner_hotel
LOY0000369,CUST0017,BKG009404,2025-01-09,987,493,flight
LOY0000370,CUST0017,BKG009528,2025-01-14,426,426,flight
LOY0000371,CUST0017,BKG009599,2024-12-26,501,0,flight
LOY0000372,CUST0017,BKG010364,2024-12-26,1352,1352,flight
LOY0000373,CUST0017,BKG010740,2024-12-22,679,339,flight
LOY0000374,CUST0017,BKG010801,2025-01-12,1500,750,flight
LOY0000375,CUST0017,BKG011260,2025-01-15,2037,0,flight
LOY0000376,CUST0018,BKG000949,2024-11-14,873,0,flight
LOY0000377,CUST0018,BKG001212,2024-11-24,607,607,bonus_campaign
LOY0000378,CUST0018,BKG001313,2024-12-20,1245,0,flight
LOY0000379,CUST0018,BKG001908,2025-01-01,1860,0,flight
LOY0000380,CUST0018,BKG002947,2024-11-30,4880,0,flight
LOY0000381,CUST0018,BKG003070,2024-12-18,315,157,partner_hotel
LOY0000382,CUST0018,BKG003121,2024-12-03,1232,0,flight
LOY0000383,CUST0018,BKG003220,2024-12-11,885,442,flight
LOY0000384,CUST0018,BKG003306,2024-11-22,1500,0,partner_hotel
LOY0000385,CUST0018,BKG003367,2024-12-06,3820,0,flight
LOY0000386,CUST0018,BKG003571,2024-11-17,407,0,flight
LOY0000387,CUST0018,BKG003875,2024-12-05,373,186,flight
LOY0000388,CUST0018,BKG004900,2025-01-05,1310,655,flight
LOY0000389,CUST0018,BKG005051,2024-12-02,558,558,partner_hotel
LOY0000390,CUST0018,BKG005059,2024-12-26,1655,827,flight
LOY0000391,CUST0018,BKG005242,2024-12-10,6805,3402,flight
LOY0000392,CUST0018,BKG005290,2024-11-25,1465,0,partner_hotel
LOY0000393,CUST0018,BKG005446,2025-01-13,2041,0,flight
LOY0000394,CUST0018,BKG005496,2024-12-09,540,270,flight
LOY0000395,CUST0018,BKG005668,2024-11-24,555,0,flight
LOY0000396,CUST0018,BKG005770,2024-12-15,1019,0,bonus_campaign
LOY0000397,CUST0018,BKG006266,2024-11-28,969,484,flight
LOY0000398,CUST0018,BKG006303,2024-12-09,1011,1011,bonus_campaign
LOY0000399,CUST0018,BKG006580,2024-12-01,2237,0,flight
LOY0000400,CUST0018,BKG006646,2025-01-08,1080,0,flight
