ticket_id,customer_id,flight_id,category,ticket_text,sentiment_score,sentiment_label,severity,status,created_at,resolution_days
TKT000016,CUST0181,FLT00015,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,medium,in_progress,2026-05-24,5
TKT000017,CUST0257,FLT00017,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,low,in_progress,2026-05-24,3
TKT000018,CUST0131,FLT00318,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,medium,closed,2026-05-24,7
TKT000019,CUST0122,FLT00201,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,low,open,2026-05-24,1
TKT000020,CUST0232,FLT00347,service,Meal not served in business class on this flight.,0.0,neutral,medium,in_progress,2026-05-24,5
TKT000021,CUST0046,FLT00239,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,medium,resolved,2026-05-24,3
TKT000022,CUST0206,FLT00303,refund,Refund requested 3 weeks ago. Still no response from the team.,0.0,neutral,medium,open,2026-05-24,1
TKT000023,CUST0289,FLT00176,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,medium,in_progress,2026-05-24,30
TKT000024,CUST0080,FLT00374,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,high,resolved,2026-05-24,3
TKT000025,CUST0029,FLT00215,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,medium,in_progress,2026-05-24,3
TKT000026,CUST0243,FLT00279,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,low,closed,2026-05-24,7
TKT000027,CUST0216,FLT00319,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,medium,resolved,2026-05-24,5
TKT000028,CUST0189,FLT00041,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,medium,open,2026-05-24,5
TKT000029,CUST0099,FLT00318,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,low,resolved,2026-05-24,3
TKT000030,CUST0090,FLT00445,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,medium,in_progress,2026-05-24,5
TKT000031,CUST0007,FLT00073,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,medium,closed,2026-05-24,1
TKT000032,CUST0083,FLT00234,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,medium,closed,2026-05-24,5
TKT000033,CUST0143,FLT00388,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,medium,resolved,2026-05-24,5
TKT000034,CUST0086,FLT00011,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,high,closed,2026-05-24,1
TKT000035,CUST0167,FLT00152,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,medium,in_progress,2026-05-24,7
TKT000036,CUST0220,FLT00349,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,high,open,2026-05-24,14
TKT000037,CUST0070,FLT00114,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,medium,resolved,2026-05-24,14
TKT000038,CUST0139,FLT00388,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,medium,closed,2026-05-24,3
TKT000039,CUST0155,FLT00435,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,critical,in_progress,2026-05-24,1
TKT000040,CUST0090,FLT00209,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,critical,closed,2026-05-24,7
TKT000041,CUST0268,FLT00108,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,medium,in_progress,2026-05-24,7
TKT000042,CUST0101,FLT00318,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,medium,open,2026-05-24,7
TKT000043,CUST0079,FLT00003,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,low,open,2026-05-24,14
TKT000044,CUST0268,FLT00074,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,low,resolved,2026-05-24,14
TKT000045,CUST0059,FLT00135,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,high,closed,2026-05-24,5
TKT000046,CUST0131,FLT00070,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,low,in_progress,2026-05-24,1
TKT000047,CUST0204,FLT00466,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,medium,resolved,2026-05-24,5
TKT000048,CUST0126,FLT00096,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,high,resolved,2026-05-24,7
TKT000049,CUST0040,FLT00209,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,critical,resolved,2026-05-24,3
TKT000050,CUST0040,FLT00235,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,medium,closed,2026-05-24,3
TKT000051,CUST0278,FLT00240,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,medium,resolved,2026-05-24,1
TKT000052,CUST0217,FLT00068,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,medium,closed,2026-05-24,5
TKT000053,CUST0280,FLT00355,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,medium,closed,2026-05-24,1
TKT000054,CUST0200,FLT00053,service,Meal not served in business class on this flight.,0.0,neutral,high,closed,2026-05-24,3
TKT000055,CUST0160,FLT00368,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,high,resolved,2026-05-24,5
TKT000056,CUST0036,FLT00180,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,medium,resolved,2026-05-24,14
TKT000057,CUST0137,FLT00255,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,low,resolved,2026-05-24,14
TKT000058,CUST0288,FLT00051,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,low,resolved,2026-05-24,1
TKT000059,CUST0248,FLT00153,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,low,closed,2026-05-24,3
TKT000060,CUST0047,FLT00137,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,low,open,2026-05-24,1
TKT000061,CUST0017,FLT00094,refund,Refund requested 3 weeks ago. Still no response from the team.,0.0,neutral,low,resolved,2026-05-24,7
TKT000062,CUST0241,FLT00189,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,medium,resolved,2026-05-24,14
TKT000063,CUST0256,FLT00258,service,Meal not served in business class on this flight.,0.0,neutral,low,in_progress,2026-05-24,3
TKT000064,CUST0193,FLT00275,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,medium,open,2026-05-24,3
TKT000065,CUST0158,FLT00429,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,high,open,2026-05-24,30
TKT000066,CUST0207,FLT00048,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,high,closed,2026-05-24,30
TKT000067,CUST0241,FLT00279,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,medium,closed,2026-05-24,1
TKT000068,CUST0248,FLT00258,service,Meal not served in business class on this flight.,0.0,neutral,medium,closed,2026-05-24,5
TKT000069,CUST0116,FLT00330,service,Meal not served in business class on this flight.,0.0,neutral,low,open,2026-05-24,5
TKT000070,CUST0050,FLT00201,refund,Refund requested 3 weeks ago. Still no response from the team.,0.0,neutral,low,resolved,2026-05-24,3
TKT000071,CUST0099,FLT00209,service,Meal not served in business class on this flight.,0.0,neutral,medium,in_progress,2026-05-24,30
TKT000072,CUST0202,FLT00440,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,medium,in_progress,2026-05-24,5
TKT000073,CUST0255,FLT00235,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,high,resolved,2026-05-24,5
TKT000074,CUST0022,FLT00139,refund,Refund requested 3 weeks ago. Still no response from the team.,0.0,neutral,high,in_progress,2026-05-24,7
TKT000075,CUST0259,FLT00442,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,medium,open,2026-05-24,7
TKT000076,CUST0175,FLT00041,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,critical,open,2026-05-24,30
TKT000077,CUST0241,FLT00196,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,high,closed,2026-05-24,30
TKT000078,CUST0028,FLT00122,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,medium,open,2026-05-24,5
TKT000079,CUST0052,FLT00063,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,medium,resolved,2026-05-24,5
TKT000080,CUST0219,FLT00367,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,high,resolved,2026-05-24,5
TKT000081,CUST0280,FLT00406,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,low,open,2026-05-24,7
TKT000082,CUST0219,FLT00201,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,high,resolved,2026-05-24,3
TKT000083,CUST0270,FLT00393,service,Meal not served in business class on this flight.,0.0,neutral,low,resolved,2026-05-24,3
TKT000084,CUST0094,FLT00076,service,Meal not served in business class on this flight.,0.0,neutral,low,closed,2026-05-24,5
TKT000085,CUST0115,FLT00062,service,Meal not served in business class on this flight.,0.0,neutral,medium,closed,2026-05-24,7
TKT000086,CUST0184,FLT00231,service,Meal not served in business class on this flight.,0.0,neutral,medium,closed,2026-05-24,7
TKT000087,CUST0286,FLT00204,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,high,resolved,2026-05-24,1
TKT000088,CUST0144,FLT00283,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,medium,open,2026-05-24,5
TKT000089,CUST0248,FLT00208,refund,Refund requested 3 weeks ago. Still no response from the team.,0.0,neutral,medium,resolved,2026-05-24,3
TKT000090,CUST0155,FLT00441,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,high,open,2026-05-24,30
TKT000091,CUST0264,FLT00329,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,high,open,2026-05-24,30
TKT000092,CUST0008,FLT00320,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,medium,open,2026-05-24,14
TKT000093,CUST0009,FLT00119,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,low,closed,2026-05-24,3
TKT000094,CUST0005,FLT00438,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,medium,open,2026-05-24,1
TKT000095,CUST0016,FLT00394,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,high,in_progress,2026-05-24,14
TKT000096,CUST0074,FLT00028,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,high,closed,2026-05-24,7
TKT000097,CUST0210,FLT00394,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,low,in_progress,2026-05-24,1
TKT000098,CUST0210,FLT00243,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,high,resolved,2026-05-24,14
TKT000099,CUST0047,FLT00391,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,low,in_progress,2026-05-24,7
TKT000100,CUST0157,FLT00471,service,Meal not served in business class on this flight.,0.0,neutral,medium,open,2026-05-24,5
TKT000101,CUST0013,FLT00106,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,high,in_progress,2026-05-24,1
TKT000102,CUST0232,FLT00089,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,critical,resolved,2026-05-24,7
TKT000103,CUST0191,FLT00419,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,low,closed,2026-05-24,3
TKT000104,CUST0126,FLT00278,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,medium,resolved,2026-05-24,30
TKT000105,CUST0045,FLT00222,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,medium,resolved,2026-05-24,1
TKT000106,CUST0293,FLT00065,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,low,in_progress,2026-05-24,5
TKT000107,CUST0184,FLT00193,service,Meal not served in business class on this flight.,0.0,neutral,medium,resolved,2026-05-24,3
TKT000108,CUST0285,FLT00283,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,medium,open,2026-05-24,5
TKT000109,CUST0143,FLT00072,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,medium,resolved,2026-05-24,7
TKT000110,CUST0165,FLT00312,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,medium,in_progress,2026-05-24,7
TKT000111,CUST0165,FLT00095,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,medium,resolved,2026-05-24,5
TKT000112,CUST0243,FLT00354,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,high,closed,2026-05-24,5
TKT000113,CUST0157,FLT00130,service,Meal not served in business class on this flight.,0.0,neutral,medium,closed,2026-05-24,5
TKT000114,CUST0013,FLT00056,service,Meal not served in business class on this flight.,0.0,neutral,low,closed,2026-05-24,1
TKT000115,CUST0085,FLT00272,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,low,in_progress,2026-05-24,7
TKT000116,CUST0271,FLT00008,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,high,closed,2026-05-24,3
TKT000117,CUST0047,FLT00115,refund,Refund requested 3 weeks ago. Still no response from the team.,0.0,neutral,low,resolved,2026-05-24,30
TKT000118,CUST0023,FLT00478,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,high,in_progress,2026-05-24,7
TKT000119,CUST0212,FLT00362,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,medium,open,2026-05-24,3
TKT000120,CUST0227,FLT00253,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,low,in_progress,2026-05-24,14
TKT000121,CUST0297,FLT00460,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,high,closed,2026-05-24,1
TKT000122,CUST0151,FLT00216,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,medium,open,2026-05-24,7
TKT000123,CUST0131,FLT00231,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,low,in_progress,2026-05-24,14
TKT000124,CUST0283,FLT00022,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,low,in_progress,2026-05-24,5
TKT000125,CUST0176,FLT00348,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,low,in_progress,2026-05-24,14
TKT000126,CUST0257,FLT00307,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,medium,resolved,2026-05-24,7
TKT000127,CUST0018,FLT00348,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,medium,in_progress,2026-05-24,14
TKT000128,CUST0100,FLT00232,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,high,closed,2026-05-24,5
TKT000129,CUST0273,FLT00147,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,high,in_progress,2026-05-24,5
TKT000130,CUST0255,FLT00256,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,low,resolved,2026-05-24,14
TKT000131,CUST0190,FLT00188,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,medium,in_progress,2026-05-24,1
TKT000132,CUST0183,FLT00446,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,medium,in_progress,2026-05-24,5
TKT000133,CUST0003,FLT00200,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,high,resolved,2026-05-24,30
TKT000134,CUST0241,FLT00298,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,medium,closed,2026-05-24,14
TKT000135,CUST0217,FLT00137,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,high,closed,2026-05-24,1
TKT000136,CUST0153,FLT00352,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,medium,resolved,2026-05-24,7
TKT000137,CUST0291,FLT00052,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,low,resolved,2026-05-24,7
TKT000138,CUST0192,FLT00167,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,low,open,2026-05-24,7
TKT000139,CUST0147,FLT00421,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,medium,closed,2026-05-24,5
TKT000140,CUST0023,FLT00381,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,low,resolved,2026-05-24,14
TKT000141,CUST0278,FLT00214,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,low,resolved,2026-05-24,1
TKT000142,CUST0111,FLT00053,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,medium,resolved,2026-05-24,7
TKT000143,CUST0260,FLT00356,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,high,open,2026-05-24,3
TKT000144,CUST0031,FLT00299,service,Meal not served in business class on this flight.,0.0,neutral,high,open,2026-05-24,5
TKT000145,CUST0204,FLT00255,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,medium,closed,2026-05-24,7
TKT000146,CUST0077,FLT00115,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,high,in_progress,2026-05-24,14
TKT000147,CUST0090,FLT00341,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,medium,in_progress,2026-05-24,14
TKT000148,CUST0260,FLT00091,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,low,in_progress,2026-05-24,7
TKT000149,CUST0243,FLT00257,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,low,resolved,2026-05-24,1
TKT000150,CUST0036,FLT00276,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,critical,resolved,2026-05-24,5
TKT000151,CUST0118,FLT00238,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,medium,open,2026-05-24,3
TKT000152,CUST0025,FLT00033,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,low,open,2026-05-24,5
TKT000153,CUST0191,FLT00423,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,medium,closed,2026-05-24,7
TKT000154,CUST0151,FLT00260,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,low,closed,2026-05-24,3
TKT000155,CUST0098,FLT00428,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,medium,resolved,2026-05-24,5
TKT000156,CUST0186,FLT00314,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,low,in_progress,2026-05-24,3
TKT000157,CUST0047,FLT00167,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,low,resolved,2026-05-24,7
TKT000158,CUST0176,FLT00377,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,medium,resolved,2026-05-24,30
TKT000159,CUST0203,FLT00123,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,critical,closed,2026-05-24,3
TKT000160,CUST0052,FLT00270,service,Meal not served in business class on this flight.,0.0,neutral,low,resolved,2026-05-24,30
TKT000161,CUST0154,FLT00449,service,Meal not served in business class on this flight.,0.0,neutral,low,closed,2026-05-24,1
TKT000162,CUST0089,FLT00020,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,low,open,2026-05-24,5
TKT000163,CUST0155,FLT00380,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,low,open,2026-05-24,3
TKT000164,CUST0234,FLT00030,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,medium,in_progress,2026-05-24,3
TKT000165,CUST0119,FLT00111,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,low,open,2026-05-24,14
TKT000166,CUST0049,FLT00001,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,medium,resolved,2026-05-24,3
TKT000167,CUST0130,FLT00265,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,high,in_progress,2026-05-24,3
TKT000168,CUST0180,FLT00117,service,Meal not served in business class on this flight.,0.0,neutral,medium,resolved,2026-05-24,3
TKT000169,CUST0100,FLT00119,service,Meal not served in business class on this flight.,0.0,neutral,low,resolved,2026-05-24,7
TKT000170,CUST0058,FLT00073,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,low,open,2026-05-24,14
TKT000171,CUST0003,FLT00448,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,low,open,2026-05-24,5
TKT000172,CUST0143,FLT00116,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,medium,resolved,2026-05-24,14
TKT000173,CUST0002,FLT00135,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,medium,in_progress,2026-05-24,7
TKT000174,CUST0299,FLT00411,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,low,closed,2026-05-24,5
TKT000175,CUST0182,FLT00437,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,medium,closed,2026-05-24,3
TKT000176,CUST0165,FLT00384,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,medium,in_progress,2026-05-24,5
TKT000177,CUST0096,FLT00396,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,low,in_progress,2026-05-24,1
TKT000178,CUST0211,FLT00080,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,high,resolved,2026-05-24,7
TKT000179,CUST0096,FLT00060,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,medium,open,2026-05-24,1
TKT000180,CUST0202,FLT00333,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,low,resolved,2026-05-24,30
TKT000181,CUST0002,FLT00444,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,critical,resolved,2026-05-24,1
TKT000182,CUST0172,FLT00431,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,high,resolved,2026-05-24,5
TKT000183,CUST0082,FLT00347,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,medium,in_progress,2026-05-24,7
TKT000184,CUST0294,FLT00402,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,low,resolved,2026-05-24,3
TKT000185,CUST0263,FLT00403,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,medium,resolved,2026-05-24,3
TKT000186,CUST0226,FLT00326,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,high,resolved,2026-05-24,7
TKT000187,CUST0296,FLT00072,refund,Refund requested 3 weeks ago. Still no response from the team.,0.0,neutral,medium,open,2026-05-24,7
TKT000188,CUST0108,FLT00250,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,medium,open,2026-05-24,14
TKT000189,CUST0119,FLT00077,refund,Refund requested 3 weeks ago. Still no response from the team.,0.0,neutral,low,closed,2026-05-24,3
TKT000190,CUST0205,FLT00096,refund,Refund requested 3 weeks ago. Still no response from the team.,0.0,neutral,high,closed,2026-05-24,3
TKT000191,CUST0141,FLT00423,delay,Flight delayed by 2 hours with no proactive communication from the airline.,0.0,neutral,high,resolved,2026-05-24,5
TKT000192,CUST0027,FLT00357,service,Meal not served in business class on this flight.,0.0,neutral,high,closed,2026-05-24,5
TKT000193,CUST0032,FLT00374,delay,Missed connecting flight due to delay. Hotel expenses incurred.,-0.125,neutral,high,closed,2026-05-24,1
TKT000194,CUST0001,FLT00099,service,Promised upgrade was not honored at boarding. Very disappointing.,-0.78,negative,high,open,2026-05-24,30
TKT000195,CUST0114,FLT00387,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,high,resolved,2026-05-24,3
TKT000196,CUST0105,FLT00293,refund,Refund requested 3 weeks ago. Still no response from the team.,0.0,neutral,medium,resolved,2026-05-24,5
TKT000197,CUST0281,FLT00243,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,low,resolved,2026-05-24,3
TKT000198,CUST0231,FLT00063,delay,Recurring delays on this route. Reliability is simply not acceptable.,0.0,neutral,low,resolved,2026-05-24,3
TKT000199,CUST0287,FLT00350,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,low,closed,2026-05-24,14
TKT000200,CUST0104,FLT00134,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,low,in_progress,2026-05-24,5
TKT000201,CUST0141,FLT00219,baggage,Luggage was damaged on arrival. Suitcase handle completely broken.,-0.4,negative,low,resolved,2026-05-24,30
TKT000202,CUST0074,FLT00314,baggage,Extra baggage fee charged twice. Requesting immediate refund.,0.0,neutral,medium,open,2026-05-24,3
TKT000203,CUST0089,FLT00151,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,high,closed,2026-05-24,30
TKT000204,CUST0185,FLT00472,service,Meal not served in business class on this flight.,0.0,neutral,critical,open,2026-05-24,1
TKT000205,CUST0092,FLT00107,service,No staff present at the boarding gate. Completely disorganized.,0.05,neutral,low,closed,2026-05-24,5
TKT000206,CUST0121,FLT00261,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,low,in_progress,2026-05-24,3
TKT000207,CUST0256,FLT00180,baggage,Bag lost on the ABJ connection. No updates after 3 days.,0.0,neutral,high,in_progress,2026-05-24,3
TKT000208,CUST0251,FLT00195,refund,Flight cancelled but voucher not received. Reference pending.,0.0,neutral,high,closed,2026-05-24,3
